time,mag,latitude,longitude,depth,,
2019-07-06T03:19:53.040Z,7.1,35.7695,-117.5993333,8,,9.5
2019-06-24T02:53:39.830Z,7.3,-6.4078,129.1692,212,,7
2019-06-15T22:55:04.132Z,7.3,-30.644,-178.106,46,,
2019-05-26T07:41:15.073Z,8,-5.8119,-75.2697,122.57,,
2019-05-14T12:58:25.942Z,7.6,-4.0509,152.6001,10,,
2019-05-06T21:19:37.983Z,7.1,-6.9691,146.4539,146,,
2019-03-01T08:50:42.591Z,7,-14.7131,-70.1546,267,,
2019-02-22T10:17:23.770Z,7.5,-2.1862,-77.0505,145,,
2018-12-29T03:39:09.740Z,7,5.8983,126.9209,60.21,,
2018-12-20T17:01:55.150Z,7.3,55.0999,164.6993,16.56,,
2018-12-11T02:26:29.420Z,7.1,-58.5446,-26.3856,133,,
2018-12-05T04:18:08.420Z,7.5,-21.9496,169.4266,10,,
2018-11-30T17:29:29.330Z,7.1,61.3464,-149.9552,46.7,,
2018-10-10T20:48:20.100Z,7,-5.7012,151.2046,39,,
2018-09-28T10:02:45.250Z,7.5,-0.2559,119.8462,20,,
2018-09-06T15:49:18.710Z,7.9,-18.4743,179.3502,670.81,,
2018-08-29T03:51:56.100Z,7.1,-22.0295,170.1262,21.43,,
2018-08-24T09:04:08.250Z,7.1,-11.0355,-70.8284,630,,
2018-08-21T21:31:47.600Z,7.3,10.7731,-62.9019,146.82,,
2018-08-19T00:19:40.670Z,8.2,-18.1125,-178.153,600,,
2018-02-25T17:44:44.140Z,7.5,-6.0699,142.7536,25.21,,
2018-02-16T23:39:39.280Z,7.2,16.3855,-97.9787,22,,
2018-01-23T09:31:40.890Z,7.9,56.0039,-149.1658,14.06,,
2018-01-14T09:18:45.540Z,7.1,-15.7675,-74.7092,39,,
2018-01-10T02:51:33.290Z,7.5,17.4825,-83.52,19,,
2017-11-19T22:43:29.250Z,7,-21.3246,168.6715,10,,
2017-11-12T18:18:17.180Z,7.3,34.9109,45.9592,19,,
2017-09-19T18:14:38.090Z,7.1,18.5499,-98.4887,48,,
2017-09-08T04:49:19.180Z,8.2,15.0222,-93.8993,47.39,,
2017-07-17T23:34:13.740Z,7.7,54.4434,168.857,10,,
2017-01-22T04:30:22.960Z,7.9,-6.2464,155.1718,135,,
2017-01-10T06:13:48.140Z,7.3,4.4782,122.6171,627.17,,
2016-12-25T14:22:27.010Z,7.6,-43.4064,-73.9413,38,,
2016-12-17T10:51:10.500Z,7.9,-4.5049,153.5216,94.54,,
2016-12-08T17:38:46.280Z,7.8,-10.6812,161.3273,40,,
2016-11-13T11:02:56.340Z,7.8,-42.7373,173.054,15.11,,
2016-09-01T16:37:57.300Z,7,-37.3586,179.1461,19,,
2016-08-29T04:29:57.860Z,7.1,-0.0456,-17.8255,10,,
2016-08-19T07:32:22.710Z,7.4,-55.2852,-31.8766,10,,
2016-08-12T01:26:36.280Z,7.2,-22.4765,173.1167,16.37,,
2016-07-29T21:18:24.740Z,7.7,18.5429,145.5073,196,,
2016-05-28T09:46:59.780Z,7.2,-56.2409,-26.9353,78,,
2016-04-28T19:33:24.070Z,7,-16.0429,167.3786,24,,
2016-04-16T23:58:36.980Z,7.8,0.3819,-79.9218,20.59,,
2016-04-15T16:25:06.220Z,7,32.7906,130.7543,10,,
2016-03-02T12:49:48.110Z,7.8,-4.9521,94.3299,24,,
2016-01-30T03:25:12.220Z,7.2,53.9776,158.5463,177,,
2016-01-24T10:30:30.230Z,7.1,59.6363,-153.4051,129,,
2015-12-07T07:50:05.950Z,7.2,38.2107,72.7797,22,,
2015-12-04T22:25:00.110Z,7.1,-47.6165,85.0913,35,,
2015-11-24T22:50:54.370Z,7.6,-10.0598,-71.0184,620.56,,
2015-11-24T22:45:38.880Z,7.6,-10.5372,-70.9437,606.21,,
2015-10-26T09:09:42.560Z,7.5,36.5244,70.3676,231,,
2015-10-20T21:52:02.560Z,7.1,-14.8595,167.3028,135,,
2015-09-16T23:18:41.850Z,7,-31.5622,-71.4262,28.41,,
2015-09-16T22:54:32.860Z,8.3,-31.5729,-71.6744,22.44,,
2015-07-27T21:41:21.710Z,7,-2.6286,138.5277,48,,
2015-07-18T02:27:33.820Z,7,-10.4012,165.1409,11,,
2015-06-17T12:51:32.790Z,7,-35.3639,-17.1605,10,,
2015-05-30T11:23:02.110Z,7.8,27.8386,140.4931,664,,
2015-05-12T07:05:19.730Z,7.3,27.8087,86.0655,15,,
2015-05-07T07:10:19.590Z,7.1,-7.2175,154.5567,10,,
2015-05-05T01:44:06.380Z,7.5,-5.4624,151.8751,55,,
2015-04-25T06:11:25.950Z,7.8,28.2305,84.7314,8.22,,
2015-03-29T23:48:31.010Z,7.5,-4.7294,152.5623,41,,
2015-02-27T13:45:05.370Z,7,-7.2968,122.5348,552.06,,
2015-02-13T18:59:12.230Z,7.1,52.6487,-31.9016,16.68,,
2014-11-15T02:31:41.720Z,7.1,1.8929,126.5217,45,,
2014-11-01T18:57:22.380Z,7.1,-19.6903,-177.7587,434,,
2014-10-14T03:51:34.460Z,7.3,12.5262,-88.1225,40,,
2014-10-09T02:14:31.440Z,7,-32.1082,-110.8112,16.54,,
2014-06-23T20:53:09.700Z,7.9,51.8486,178.7352,109,,
2014-04-19T13:28:00.810Z,7.5,-6.7547,155.0241,43.37,,
2014-04-18T14:27:24.920Z,7.2,17.397,-100.9723,24,,
2014-04-13T12:36:19.230Z,7.4,-11.4633,162.0511,39,,
2014-04-12T20:14:39.300Z,7.6,-11.2701,162.1481,22.56,,
2014-04-11T07:07:23.130Z,7.1,-6.5858,155.0485,60.53,,
2014-04-03T02:43:13.110Z,7.7,-20.5709,-70.4931,22.4,,
2014-04-01T23:46:47.260Z,8.2,-19.6097,-70.7691,25,,
2013-11-25T06:27:33.300Z,7,-53.9451,-55.0033,11.78,,
2013-11-17T09:04:55.530Z,7.7,-60.2738,-46.4011,10,,
2013-10-25T17:10:19.710Z,7.1,37.1557,144.6611,35,,
2013-10-15T00:12:32.050Z,7.1,9.8796,124.1167,19.04,,
2013-09-25T16:42:43.170Z,7.1,-15.8385,-74.5112,40,,
2013-09-24T11:29:47.970Z,7.7,26.951,65.5009,15,,
2013-08-30T16:25:02.300Z,7,51.537,-175.2297,29,,
2013-07-15T14:03:39.880Z,7.3,-60.857,-25.07,11,,
2013-07-07T18:35:30.740Z,7.3,-3.917,153.927,385.5,,
2013-05-24T05:44:48.980Z,8.3,54.892,153.221,598.1,,
2013-05-23T17:19:04.750Z,7.4,-23.009,-177.232,173.7,,
2013-04-19T03:05:52.650Z,7.2,46.221,150.788,110,,
2013-04-16T10:44:20.180Z,7.7,28.033,61.996,80,,
2013-04-06T04:42:35.860Z,7,-3.517,138.476,66,,
2013-02-08T15:26:38.470Z,7.1,-10.928,166.018,21,,
2013-02-06T01:54:14.610Z,7,-10.499,165.588,8.8,,
2013-02-06T01:23:19.760Z,7.1,-11.183,164.882,10,,
2013-02-06T01:12:25.830Z,8,-10.799,165.114,24,,
2013-01-05T08:58:14.957Z,7.5,55.228,-134.8591,8.7,,
2012-12-10T16:53:08.770Z,7.1,-6.533,129.825,155,,
2012-12-07T08:18:23.130Z,7.3,37.89,143.949,31,,
2012-11-07T16:35:46.930Z,7.4,13.988,-91.895,24,,
2012-10-28T03:04:08.820Z,7.8,52.788,-132.101,14,,
2012-09-30T16:31:35.970Z,7.3,1.929,-76.362,170,,
2012-09-05T14:42:07.800Z,7.6,10.085,-85.315,35,,
2012-08-31T12:47:33.380Z,7.6,10.811,126.638,28,,
2012-08-27T04:37:19.430Z,7.3,12.139,-88.59,28,,
2012-08-14T02:59:38.460Z,7.7,49.8,145.064,583.2,,
2012-04-12T07:15:48.500Z,7,28.696,-113.104,13,,
2012-04-11T10:43:10.850Z,8.2,0.802,92.463,25.1,,
2012-04-11T08:38:36.720Z,8.6,2.327,93.063,20,,
2012-03-25T22:37:06.000Z,7.1,-35.2,-72.217,40.7,,
2012-03-20T18:02:47.440Z,7.4,16.493,-98.231,20,,
2012-02-02T13:34:40.650Z,7.1,-17.827,167.133,23,,
2012-01-10T18:36:59.080Z,7.2,2.433,93.21,19,,
2011-12-14T05:04:58.630Z,7.1,-7.551,146.809,135,,
2011-10-23T10:41:23.250Z,7.1,38.721,43.508,18,,
2011-10-21T17:57:16.100Z,7.4,-28.993,-176.238,33,,
2011-09-15T19:31:04.080Z,7.3,-21.611,-179.528,644.6,,
2011-09-03T22:55:40.920Z,7,-20.671,169.716,185.1,,
