year,runup,latitude,longitude
2004,25.5,5.283,95.247
2004,25.6,5.355,95.242
2004,26.3,5.436,95.235
1861,7,0.55,97.75
1861,1.5,4.15,96.1
2004,10.2,5.479,95.249
2004,10.4,5.572,95.325
2004,10.4,5.584,95.347
2004,10.4,5.571,95.325
2004,10.5,5.575,95.326
2004,10.6,5.593,95.367
2004,10.8,5.55,95.304
2004,10.8,5.562,95.317
2004,10.8,5.594,95.335
2004,10.8,5.588,95.361
2004,11,5.552,95.294
2004,11,5.537,95.284
2004,11,5.605,95.387
2004,11.1,5.584,95.349
2004,3,1.825,73.495
2004,4.48,8.734,98.225
2004,2.9,1.932,73.552
2004,8.86,8.729,98.226
2004,2.7,1.923,73.551
2004,3.8,8.57,98.224
2004,2.7,1.923,73.55
2004,7.8,8.611,98.238
2004,3,4.443,73.715
2004,9.5,8.675,98.242
2004,2.6,4.443,73.715
2004,7.6,8.671,98.243
2004,2.3,4.444,73.714
2004,6.2,8.7,98.24
2004,2.4,4.333,73.599
2004,7.9,8.7,98.24
2004,2.2,4.334,73.601
2004,9.3,8.736,98.222
2004,1.5,4.327,73.597
2004,9.5,5.497,95.262
2004,7,6.874,81.844
2005,0.21,6.933,79.85
2004,9.5,5.497,95.262
2004,8,6.976,81.864
2005,0.1,4.18,73.52
2004,9.5,5.575,95.325
2004,4.5,7.209,81.86
2004,2,4.195,73.526
2004,9.5,5.594,95.371
2007,0.08,5.826,95.347
2004,9.6,5.541,95.305
2004,7,7.173,81.86
2004,9.8,5.576,95.345
2004,5,7.25,81.864
2007,0.11,4.18,73.52
2004,9.8,5.481,95.244
2004,6,7.289,81.866
2007,0.3,6.933,79.85
2004,9.8,5.611,95.391
2004,7,7.384,81.848
2007,0.3,8.567,81.233
2004,9.8,5.614,95.398
2004,6,7.404,81.842
2005,1,4.167,96.15
2004,7,7.521,81.806
2004,10,5.501,95.246
2004,2.4,4.172,73.502
2004,6,7.584,81.79
2004,10,5.614,95.398
2004,10,5.588,95.358
2004,11.2,5.561,95.311
2004,11.2,5.549,95.302
2004,10,5.59,95.389
2004,11.2,5.482,95.265
2004,10.1,5.489,95.264
2004,11.3,5.576,95.327
2004,11.3,5.595,95.371
2004,10.2,5.536,95.282
2004,0,9.49,76.33
2004,0,9.0833,76.4833
2004,26.5,5.463,95.242
2004,0,10.674,79.851
2004,12,8.088306,77.4865
2004,26.8,5.5,95.227
2004,0,10.015,76.22
2004,0,10.82,79.85
2004,27,5.472,95.243
2004,0,8.5069,76.9569
2004,0,10.9167,79.8333
1847,0,7.217,93.7
2004,27,5.472,95.243
2012,0.21,4.18,73.52
2004,12,8.108028,77.403722
2012,0.11,8.567,81.233
2012,0.24,0.565796,97.820721
2004,18.7,5.556,95.237
2012,0.08,-12.117,96.883
1881,0,8.567,81.217
